,team,epa,auto_epa,teleop_epa,endgame_epa,rp_1_epa,rp_2_epa
0,9313,14.98,1.94,4.84,8.2,-0.1232,0.0928
1,2438,39.7,10.43,21.67,7.6,0.1397,0.341
2,5410,10.55,4.46,1.88,4.21,-0.1233,0.0368
3,3284,20.04,1.74,13.73,4.57,-0.1768,0.2008
4,3843,20.32,5.64,9.45,5.24,-0.1496,0.0993
5,3630,35.26,8.94,19.41,6.9,0.2591,0.1387
6,3959,29.77,9.03,12.46,8.28,-0.1259,0.3644
7,6184,13.53,1.45,7.25,4.83,-0.1007,-0.0132
8,8044,29.34,8.74,14.27,6.33,0.2048,0.1169
9,5005,16.07,6.43,3.69,5.95,-0.152,0.0591
10,34,15.34,2.45,7.68,5.21,-0.186,0.082
11,9073,16.53,4.51,3.73,8.29,-0.2067,0.1886
12,5472,56.71,15.04,33.27,8.39,0.3521,0.475
13,6517,28.2,7.44,13.21,7.55,-0.0649,0.2598
14,8772,13.78,3.83,6.41,3.55,-0.2053,0.0436
15,7428,22.56,7.65,10.13,4.78,-0.1239,0.0132
16,6823,29.21,8.2,11.68,9.32,0.0371,0.058
17,5842,39.96,10.87,25.08,4.01,0.0233,0.1256
18,5045,9.53,2.82,1.25,5.46,-0.0906,0.0524
19,8773,17.49,4.85,8.13,4.51,-0.1737,0.0752
20,7565,30.97,10.16,16.73,4.08,-0.0697,0.1527
21,2973,23.15,6.15,10.16,6.84,-0.0961,0.0269
22,538,17.95,2.55,9.49,5.92,0.0056,-0.0591
23,179,56.08,16.74,29.57,9.76,0.2894,0.6766
24,7430,17.11,3.07,8.99,5.06,-0.2274,0.1603
25,5965,15.42,3.94,7.03,4.45,-0.0525,0.0515
26,233,37.37,9.64,19.15,8.59,-0.0814,0.1119
27,8624,17.57,4.88,8.17,4.53,-0.173,0.0759
28,1038,34.33,11.81,17.79,4.73,0.1146,0.2969
29,7567,41.76,10.5,26.89,4.37,-0.1653,0.2572
30,6936,17.2,6.75,8.05,2.39,-0.1753,0.0076
31,6404,11.74,3.44,4.98,3.32,-0.1758,-0.0103
32,1747,18.54,7.93,4.96,5.64,-0.1535,0.1673
33,5276,19.52,3.98,10.19,5.35,-0.1987,0.0911
34,547,21.4,5.94,9.95,5.51,-0.1404,0.1085
35,7072,16.84,7.08,7.22,2.54,-0.0111,0.0865
36,3937,48.15,11.13,31.94,5.09,0.2353,0.2218
37,4499,68.52,17.05,40.58,10.89,0.5741,0.6616
38,6302,16.99,-0.11,12.22,4.89,-0.2174,-0.0366
39,5002,20.12,2.81,10.08,7.23,-0.1595,0.0827
40,7111,18.0,4.29,7.97,5.74,-0.0572,0.1013
41,8788,22.63,6.95,9.06,6.62,-0.1023,0.2536
42,2556,29.34,6.01,17.73,5.6,-0.0882,0.1144
43,4576,36.91,8.55,18.19,10.16,-0.0212,0.4366
44,6107,12.62,1.99,5.74,4.89,-0.218,-0.0111
45,3616,40.1,10.78,19.02,10.3,0.1435,0.4222
46,9280,17.53,6.33,3.98,7.22,-0.1905,0.2147
47,2992,49.17,11.58,27.96,9.63,0.2672,0.5034
48,5842,43.42,11.27,27.66,4.49,0.1138,0.2027
49,1466,34.46,11.21,16.34,6.91,0.0173,0.3716
50,2973,24.13,6.6,10.74,6.79,-0.1192,0.0628
51,3630,38.44,8.61,21.6,8.23,0.3498,0.1948
52,1622,35.28,10.47,16.58,8.22,0.3612,0.4186
53,9313,12.56,1.65,3.9,7.0,-0.1313,0.0457
54,6184,12.87,1.13,8.25,3.49,-0.1117,-0.06
55,233,36.99,10.17,18.0,8.82,-0.0845,0.1788
56,34,14.9,2.21,7.23,5.47,-0.1875,0.0484
57,7430,14.62,3.6,5.73,5.29,-0.2305,0.2272
58,7565,33.05,10.78,18.2,4.07,-0.0731,0.1234
59,6823,30.74,8.6,12.33,9.8,0.1276,0.1351
60,9073,16.13,4.27,3.32,8.55,-0.2082,0.155
61,1747,21.36,8.28,6.14,6.94,-0.1552,0.2466
62,8773,20.32,5.47,10.35,4.5,-0.1771,0.0458
63,7567,36.05,8.27,24.83,2.95,-0.1706,0.1945
64,5045,11.12,3.44,2.23,5.46,-0.0941,0.0231
65,8772,17.0,3.91,9.23,3.86,-0.1211,0.0683
66,6517,30.56,7.52,15.18,7.86,0.0193,0.2845
67,1038,31.77,9.59,18.87,3.31,0.1094,0.2342
68,5002,18.94,3.4,9.07,6.47,-0.1631,0.0389
69,8788,21.46,7.55,8.05,5.86,-0.1059,0.2098
70,6936,24.23,7.11,13.43,3.69,-0.1771,0.0869
71,5472,57.24,15.13,33.41,8.7,0.4363,0.4997
72,7072,20.54,7.69,9.25,3.59,-0.0143,0.1567
73,7111,16.56,4.89,6.7,4.98,-0.0609,0.0575
74,2556,32.55,6.15,19.87,6.53,0.0083,0.1605
75,538,18.83,3.0,9.96,5.87,-0.0174,-0.0232
76,8044,29.05,8.42,15.65,4.98,0.1937,0.0701
77,5965,12.93,4.47,3.78,4.69,-0.0556,0.1184
78,5005,15.63,6.19,3.24,6.2,-0.1535,0.0255
79,7428,25.19,8.05,11.89,5.26,-0.0334,0.0903
80,2992,49.45,12.41,28.73,8.32,0.3426,0.4106
81,1466,35.01,11.9,15.02,8.09,0.0048,0.4082
82,3843,26.05,5.31,14.18,6.56,-0.059,0.1554
83,4499,70.13,17.55,41.59,11.0,0.615,0.6816
84,3284,23.1,1.4,15.8,5.9,-0.0862,0.2569
85,5276,22.54,4.59,11.55,6.4,-0.2019,0.1613
86,9280,20.36,7.17,7.3,5.9,-0.1151,0.1219
87,1622,35.17,10.5,16.59,8.08,0.3033,0.4532
88,3937,49.76,11.62,32.95,5.2,0.2762,0.2418
89,547,26.44,6.55,13.33,6.56,-0.1436,0.1786
90,8624,9.79,2.65,4.03,3.11,-0.1782,0.0132
91,6302,19.24,0.38,13.85,5.0,-0.1765,-0.0166
92,6107,15.83,2.13,7.87,5.82,-0.1215,0.0349
93,179,56.27,17.2,29.36,9.71,0.2663,0.7126
94,5410,7.79,4.18,0.61,3.0,-0.1314,-0.0103
95,6404,18.77,3.79,10.36,4.62,-0.1776,0.069
96,4576,40.84,8.7,21.04,11.1,0.0752,0.4826
97,3616,40.48,11.61,19.88,8.99,0.2189,0.3294
98,5842,43.97,11.96,26.34,5.67,0.1014,0.2393
99,3959,29.14,8.71,13.5,6.93,-0.1369,0.3176
100,2438,37.28,10.15,20.73,6.4,0.1316,0.2939
101,8788,22.43,7.27,8.93,6.24,-0.0259,0.2332
